Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
94,Shrubs,IVi,Itea virginica,Virginia Sweetspire,6 - 12,6 - 12,White (in tassel-like spikes),June - July,,,,,,"southern New Jersey, south to Florida and Louisiana (along Coastal Plain),",http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=286893,https://www.wildflower.org/plants/result.php?id_plant=ITVI
95,Shrubs,KLa,Kalmia latifolia,Mountain laurel,6 - 20,5 - 12,pink/red/white,May - July,,,deer resistant; fragrant,,,USDA hardiness zones 4-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c798,https://www.wildflower.org/plants/result.php?id_plant=KALA
96,Shrubs,LRa,Leucothoe racemosa,Fetter bush,,,White,May - June,,,,,,"Massachusetts and southeastern New York to eastern Pennsylvania, south to",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=446191&isprofile=0&,https://www.wildflower.org/plants/result.php?id_plant=PARA2
97,Shrubs,LBe,Lindera benzoin,Spice bush,6 - 12,6 - 12,yellow,March - April,,,fragrant,,,USDA hardiness zones 4-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d890,https://www.wildflower.org/plants/result.php?id_plant=libe3
98,Shrubs,MPe,Myrica pensylvanica,Northern Bayberry,6 - 12,6 - 12,Green,March - April,,,,tidal fresh and brackish marshes and swamps nontidal marshes and swamps sand flats,,"Newfoundland, south to North Carolina (mainly Coastal Plain)",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e310,https://www.wildflower.org/plants/result.php?id_plant=mope6
99,Shrubs,RVi,Rhododendron viscosum,Swamp azalea,6 - 12,6 - 12,White (pink bud),July,,,,,,"Maine to Ohio, south to Florida",https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=280018,https://www.wildflower.org/plants/result.php?id_plant=rhvi2
100,Shrubs,RAr,Rhus aromatica,Fragrant Sumac,,,gold/yellow,March - May,,,rabbit resistant; prefers full sun to partial shade,,,USDA hardiness zones 3-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=275952,https://www.wildflower.org/plants/result.php?id_plant=rhar4
101,Shrubs,RCa,Rosa carolina,Carolina Rose,,,,May - June,,,fragrant and edible flowers; prefers full sun to,,,USDA hardiness zones 4-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f370,https://www.wildflower.org/plants/result.php?id_plant=gema
102,Shrubs,SCa,Sambucus canadensis,Elderberry,6 - 12,6 - 12,white in flat-topped clusters,June - July,,,new growth can be fatal to livestock,,,"Nova Scotia to Manitoba and South Dakota, south to Florida and Texas",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f470,https://www.wildflower.org/plants/result.php?id_plant=sanic4
103,Shrubs,SLa2,Spiraea latifolia,Meadowsweet,3 - 6,,,,,,,,,USDA Plant Hardiness Zones 3-7d,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286372,https://www.wildflower.org/plants/result.php?id_plant=SPALL
104,Shrubs,STo,Spiraea tomentosa,Steeplebush,2 - 4,3 - 5,,,,,,,,USDA Plant Hardiness Zone 3-8,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=286476,https://www.wildflower.org/plants/result.php?id_plant=spto2
105,Shrubs,VCo,Vaccinium corymbosum,Highbush Blueberry,6 - 10,1.5 - 3,white,March - June,,,,,,USDA hardiness zones 3-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m690,https://www.wildflower.org/plants/result.php?id_plant=vaco
106,Shrubs,VAc,Viburnum acerifolium,Mapleleaf Viburnum,,,white,May - August,,,prefers partial shade,,,USDA hardiness zones 4-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a192,
107,Shrubs,VDe,Viburnum dentatum,Arrowwood Viburnum,3 - 10,,White in flat-topped clusters,May - June,,,,,,"Southeastern Massachusetts, south to Florida and Texas, west to Pennsylvania,",https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=278980,https://www.wildflower.org/plants/result.php?id_plant=vide
108,Shrubs,VLe,Viburnum lentago,Nannyberry,20 - 35,10 - 35,White/in flat-topped clusters,May,,,,,,"Western Quebec to Manitoba, south to Georgia and Mississippi",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278938,https://www.wildflower.org/plants/result.php?id_plant=ceoc2
109,Shrubs,VNu,Viburnum nudum,Possumhaw Virburnum,,,cream/tan/white,April - May,,,fragrant flowers; prefers full sun or partial shade,,,USDA hardiness zones 5-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=278959,https://www.wildflower.org/plants/result.php?id_plant=VINU
110,Shrubs,VTr,Viburnum trilobum,Cranberry viburnum,,,White,May - July,,,,"wet woods, along streams, and on moist wooded hillsides, requires moist but well-drained",,"Maine to Pennsylvania and West Virginia, northwestward to Washington",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c365,https://www.wildflower.org/plants/result.php?id_plant=vide
112,Trees,ACa1,Amelanchier canadensis,Serviceberry,35 - 50,35 - 50,White,April,,,,,,Newfoundland to Mississippi on Coastal Plain,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j290,https://www.wildflower.org/plants/result.php?id_plant=amca4
113,Trees,ATr1,Asimina triloba,Common Pawpaw,,40,Green to brown with purple outer petals,Early Spring,,,,,,"Southern Ontario and western New York, south to northwest Florida, west to",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b500%20,https://www.wildflower.org/plants/result.php?id_plant=astr
114,Trees,BNi,Betula nigra,River birch,50 - 75,35 - 50,Light green to yellow green,April - May,,,,,,"New Hampshire to Minnesota, south to Florida, and Texas",https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=277830,https://www.wildflower.org/plants/result.php?id_plant=beni
115,Trees,CCa,Cercis canadensis,Eastern redbud,,,Purplish-pink,Spring,,,,,,"New Jersey south to central Florida, west to Texas, and north to Nebraska",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h550,https://www.wildflower.org/plants/result.php?id_plant=ceca4
116,Trees,CFl,Cornus florida,Flowering dogwood,,,White,April - June,,,,,,"Southern Ontario to Southeast Maine, south to Florida and west to Texas",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c280,https://www.wildflower.org/plants/result.php?id_plant=cofl2
117,Trees,MVi,Magnolia virginiana,Sweetbay magnolia,12 - 20,12 - 20,White,May - June,,,,,,"Southern New York, south Florida and Texas along Coastal Plain",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e110,https://www.wildflower.org/plants/result.php?id_plant=mavi2
