Botanical Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Wetland Status,Type,Characteristics,Key,Common Name,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org,Plant Type
Sporobolus heterolepis,,,Bloom Color,Flowering Period,,,upland,"GRASSES, SEDGES, AND RUSHES",,,Prairie Dropseed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Sporobolus+heterolepis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Sporobolus%20heterolepis),"Grasses, Sedges, and Rushes"
Andromeda polifolia,1 to 2,Aerial Spread,Flower Color,Flowering Period,,,Obligate Wetland,SHRUBS,,,Bog Rosemary,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Andromeda+polifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Andromeda%20polifolia),Shrubs
Aronia arbutifolia,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Red chokeberry,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Aronia+arbutifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Aronia%20arbutifolia),Shrubs
Aronia melanocarpa,3 to 6,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Black chokeberry,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Aronia+melanocarpa),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Aronia%20melanocarpa),Shrubs
Cephalanthus occidentalis,6 to 12,Aerial Spread,,Flowering Period,,,Obligate wetland,SHRUBS,,,Buttonbush,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Cephalanthus+occidentalis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Cephalanthus%20occidentalis),Shrubs
Clethra alnifolia,6-12,Aerial Spread,Flower Color,Flowering Period,,,,SHRUBS,,,Sweet Pepperbush/ Summersweet,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Clethra+alnifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Clethra%20alnifolia),Shrubs
Cornus amomum,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Silky Dogwood,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Cornus+amomum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Cornus%20amomum),Shrubs
Cornus racemosa,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Graystem dogwood,"Forested wetlands, shrub wetlands, and stream borders",,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Cornus+racemosa),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Cornus%20racemosa),Shrubs
Cornus sericea,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Red-osier Dogwood aka Red-twig Dogwood,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Cornus+sericea),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Cornus%20sericea),Shrubs
Hydrangea quercifolia,6 to 8,,Flower Color,Flowering Period,"Sun, Partial Shade",,,SHRUBS,,,Oakleaf Hydrangea,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Hydrangea+quercifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Hydrangea%20quercifolia),Shrubs
Ilex glabra,6 to 8,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Inkberry,"Forested seasonal wetlands, shrub swamp and sandy woods",,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Ilex+glabra),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Ilex%20glabra),Shrubs
Ilex verticillata,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Common winterberry,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Ilex+verticillata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Ilex%20verticillata),Shrubs
Itea virginica,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Obligate wetland,SHRUBS,,,Virginia Sweetspire,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Itea+virginica),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Itea%20virginica),Shrubs
Kalmia latifolia,6 to 20,Spread,Flower Color,Flowering Period,,,facultative upland,SHRUBS,,,Mountain laurel,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Kalmia+latifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Kalmia%20latifolia),Shrubs
Leucothoe racemosa,,,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Fetterbush,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Leucothoe+racemosa),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Leucothoe%20racemosa),Shrubs
Lindera benzoin,6 to 12,Spread,Flower Color,Flowering Period,,,facultative wetland,SHRUBS,,,Spicebush,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Lindera+benzoin),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Lindera%20benzoin),Shrubs
Myrica pensylvanica,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative,SHRUBS,,,Northern Bayberry,tidal fresh and brackish marshes and swamps nontidal marshes and swamps sand flats,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Myrica+pensylvanica),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Myrica%20pensylvanica),Shrubs
Rhododendron viscosum,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Obligate wetland,SHRUBS,,,Swamp azalea,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Rhododendron+viscosum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Rhododendron%20viscosum),Shrubs
Rhus aromatica,,,Flower Color,Flowering Period,,,upland,SHRUBS,,,Fragrant Sumac,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Rhus+aromatica),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Rhus%20aromatica),Shrubs
Rosa carolina,,,Bloom Color,Flowering Period,,,facultative uplandd,SHRUBS,,,Carolina Rose,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Rosa+carolina),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Rosa%20carolina),Shrubs
Sambucus canadensis,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,facultative wetland,SHRUBS,,,Elderberry or American elder,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Sambucus+canadensis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Sambucus%20canadensis),Shrubs
Spiraea latifolia,3 to 6,,Bloom Color,Bloom Period,,,,SHRUBS,,,Meadowsweet,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Spiraea+latifolia),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Spiraea%20latifolia),Shrubs
Spiraea tomentosa,2 to 4,Spread,Bloom Color,Bloom Period,,,facultative wetland,SHRUBS,,,Steeplebush,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Spiraea+tomentosa),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Spiraea%20tomentosa),Shrubs
Vaccinium corymbosum,6 to 10,,Flower Color,Flowering Period,,,facultative wetland,SHRUBS,,,Highbush Blueberry,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Vaccinium+corymbosum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Vaccinium%20corymbosum),Shrubs
Viburnum acerifolium,,,Flower Color,Flowering Period,,,upland,SHRUBS,,,Mapleleaf Viburnum,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Viburnum+acerifolium),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Viburnum%20acerifolium),Shrubs
Viburnum dentatum,3 to 10,,Flower Color,Flowering Period,,,,SHRUBS,,,Arrowwood Viburnum,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Viburnum+dentatum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Viburnum%20dentatum),Shrubs
Viburnum lentago,20 to 35,Aerial Spread,Flower Color,Flowering Period,,,Facultative,SHRUBS,,,Nannyberry,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Viburnum+lentago),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Viburnum%20lentago),Shrubs
Viburnum nudum,,,Flower Color,Flowering Period,,,obligateb,SHRUBS,,,Possumhaw Virburnum,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Viburnum+nudum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Viburnum%20nudum),Shrubs
Viburnum trilobum,,,Flower Color,Flowering Period,,,,SHRUBS,,,Cranberry viburnum,"wet woods, along streams, and on moist wooded hillsides, requires moist but well-drained",,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Viburnum+trilobum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Viburnum%20trilobum),Shrubs
Amelanchier canadensis,35 to 50,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Serviceberry,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Amelanchier+canadensis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Amelanchier%20canadensis),Trees
Asimina triloba,,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Common Pawpaw,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Asimina+triloba),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Asimina%20triloba),Trees
Betula nigra,50 to 75,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,River birch,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Betula+nigra),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Betula%20nigra),Trees
Cercis canadensis,,,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Eastern redbud,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Cercis+canadensis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Cercis%20canadensis),Trees
Cornus florida,,,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Flowering dogwood,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Cornus+florida),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Cornus%20florida),Trees
Magnolia virginiana,12 to 20,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Sweetbay magnolia,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Magnolia+virginiana),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Magnolia%20virginiana),Trees
