Botanical Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Wetland Status,Type,Characteristics,Key,Common Name,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org,Plant Type
Clethra alnifolia,6-12,Aerial Spread,Flower Color,Flowering Period,,,,SHRUBS,,,Sweet Pepperbush/ Summersweet,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Clethra+alnifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=clethra-alnifolia,Shrubs
Cornus amomum,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Silky Dogwood,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cornus+amomum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cornus-amomum,Shrubs
Cornus racemosa,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Graystem dogwood,"Forested wetlands, shrub wetlands, and stream borders",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cornus+racemosa,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cornus-racemosa,Shrubs
Cornus sericea,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Red-osier Dogwood aka Red-twig Dogwood,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cornus+sericea,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cornus-sericea,Shrubs
Hydrangea quercifolia,6 to 8,,Flower Color,Flowering Period,"Sun, Partial Shade",,,SHRUBS,,,Oakleaf Hydrangea,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Hydrangea+quercifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=hydrangea-quercifolia,Shrubs
Ilex glabra,6 to 8,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Inkberry,"Forested seasonal wetlands, shrub swamp and sandy woods",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Ilex+glabra,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=ilex-glabra,Shrubs
Ilex verticillata,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Common winterberry,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Ilex+verticillata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=ilex-verticillata,Shrubs
Itea virginica,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Obligate wetland,SHRUBS,,,Virginia Sweetspire,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Itea+virginica,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=itea-virginica,Shrubs
Kalmia latifolia,6 to 20,Spread,Flower Color,Flowering Period,,,facultative upland,SHRUBS,,,Mountain laurel,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Kalmia+latifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=kalmia-latifolia,Shrubs
Leucothoe racemosa,,,Flower Color,Flowering Period,,,Facultative wetland,SHRUBS,,,Fetterbush,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Leucothoe+racemosa,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=leucothoe-racemosa,Shrubs
Lindera benzoin,6 to 12,Spread,Flower Color,Flowering Period,,,facultative wetland,SHRUBS,,,Spicebush,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Lindera+benzoin,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=lindera-benzoin,Shrubs
Myrica pensylvanica,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Facultative,SHRUBS,,,Northern Bayberry,tidal fresh and brackish marshes and swamps nontidal marshes and swamps sand flats,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Myrica+pensylvanica,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=myrica-pensylvanica,Shrubs
Rhododendron viscosum,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,Obligate wetland,SHRUBS,,,Swamp azalea,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Rhododendron+viscosum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=rhododendron-viscosum,Shrubs
Rhus aromatica,,,Flower Color,Flowering Period,,,upland,SHRUBS,,,Fragrant Sumac,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Rhus+aromatica,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=rhus-aromatica,Shrubs
Rosa carolina,,,Bloom Color,Flowering Period,,,facultative uplandd,SHRUBS,,,Carolina Rose,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Rosa+carolina,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=rosa-carolina,Shrubs
Sambucus canadensis,6 to 12,Aerial Spread,Flower Color,Flowering Period,,,facultative wetland,SHRUBS,,,Elderberry or American elder,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Sambucus+canadensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=sambucus-canadensis,Shrubs
Spiraea latifolia,3 to 6,,Bloom Color,Bloom Period,,,,SHRUBS,,,Meadowsweet,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Spiraea+latifolia,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=spiraea-latifolia,Shrubs
Spiraea tomentosa,2 to 4,Spread,Bloom Color,Bloom Period,,,facultative wetland,SHRUBS,,,Steeplebush,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Spiraea+tomentosa,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=spiraea-tomentosa,Shrubs
Vaccinium corymbosum,6 to 10,,Flower Color,Flowering Period,,,facultative wetland,SHRUBS,,,Highbush Blueberry,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Vaccinium+corymbosum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=vaccinium-corymbosum,Shrubs
Viburnum acerifolium,,,Flower Color,Flowering Period,,,upland,SHRUBS,,,Mapleleaf Viburnum,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Viburnum+acerifolium,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=viburnum-acerifolium,Shrubs
Viburnum dentatum,3 to 10,,Flower Color,Flowering Period,,,,SHRUBS,,,Arrowwood Viburnum,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Viburnum+dentatum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=viburnum-dentatum,Shrubs
Viburnum lentago,20 to 35,Aerial Spread,Flower Color,Flowering Period,,,Facultative,SHRUBS,,,Nannyberry,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Viburnum+lentago,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=viburnum-lentago,Shrubs
Viburnum nudum,,,Flower Color,Flowering Period,,,obligateb,SHRUBS,,,Possumhaw Virburnum,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Viburnum+nudum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=viburnum-nudum,Shrubs
Viburnum trilobum,,,Flower Color,Flowering Period,,,,SHRUBS,,,Cranberry viburnum,"wet woods, along streams, and on moist wooded hillsides, requires moist but well-drained",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Viburnum+trilobum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=viburnum-trilobum,Shrubs
Amelanchier canadensis,35 to 50,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Serviceberry,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Amelanchier+canadensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=amelanchier-canadensis,Trees
Asimina triloba,,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Common Pawpaw,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Asimina+triloba,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=asimina-triloba,Trees
Betula nigra,50 to 75,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,River birch,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Betula+nigra,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=betula-nigra,Trees
Cercis canadensis,,,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Eastern redbud,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cercis+canadensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cercis-canadensis,Trees
Cornus florida,,,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Flowering dogwood,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Cornus+florida,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=cornus-florida,Trees
Magnolia virginiana,12 to 20,Aerial Spread,Flower Color,Flowering Period,,,Facultative wetland,TREES,,,Sweetbay magnolia,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Magnolia+virginiana,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=magnolia-virginiana,Trees
