Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Tolerates,Maintenance,Native Habitats,Attracts,Soil Description,Distribution Zone,AGCP Regional Status,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com
"Herbaceous, Perennial",RL,Rudbeckia laciniata,CUTLEAF CONEFLOWER,2 - 9,1.50 - 3,Yellow,"Jul, Aug, Sep, Oct","Full Sun, Part Shade",medium,Deer,Medium,"Low, rich woods; wet fields; alluvial thickets",Butterflies,"Moist, slightly acid soil.",USDA Hardiness Zone 3 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m200,https://www.wildflower.org/plants/result.php?id_plant=rula3,https://www.pleasantrunnursery.com/plant-name/Rudbeckia-laciniata,https://newmoonnursery.com/nursery-plants/rudbeckia-laciniata/,https://www.pinelandsnursery.com/rudbeckia-laciniata-seed
"Herbaceous, Perennial",SP,Siphium perfoliatum,CUP-PLANT,4 - 8,1 - 3,Yellow,"Jul, Aug, Sep",Full Sun,"medium, wet","Clay Soil, Wet Soil",Low,Moist woods; prairies; low ground,"Birds, Butterflies",Wet to mesic soils. Will tolerate clay soil.,USDA Hardiness Zone 3 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g650,https://www.wildflower.org/plants/result.php?id_plant=SIPE2,https://www.pleasantrunnursery.com/plant-name/Eupatorium-perfoliatum,,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed
"Herbaceous, Perennial",SR,Smilacina raceoscum,FALSE SOLOMON’S SEA,2 - 3,1.50 - 2,White,,"Part Shade, Full Shade",medium,Drought Tolerant,Medium,,"Butterflies, Pollinators",,USDA Hardiness Zone 3 to 8,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=m390,https://www.wildflower.org/plants/result.php?id_plant=MARA7,https://www.pleasantrunnursery.com/plant-name/Baptisia-alba-var-macrophylla,,https://www.pinelandsnursery.com/search?query=Smilacina+raceoscum
"Herbaceous, Perennial",SN,Solidago nemoralis,GRAY GOLDENROD,0.50 - 2,0.50 - 2,Yellow,"Aug, Sep, Oct",Full Sun,"dry, medium","Deer, Drought, Dry Soil, Shallow-Rocky Soil",Low,,Butterflies,,USDA Hardiness Zone 3 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277240,https://www.wildflower.org/plants/result.php?id_plant=sogi,https://www.pleasantrunnursery.com/plant-name/Solidago-nemoralis,https://newmoonnursery.com/nursery-plants/solidago-nemoralis/,https://www.pinelandsnursery.com/solidago-nemoralis-gray-goldenrod-seed
"Herbaceous, Perennial",SS,Solidago sempervirens,GOLDENROD,2 - 3,2 - 3,Yellow,"Aug, Sep, Oct",Full Sun,"dry, medium","Deer, Drought, Clay Soil",Medium,Saline places along the coast,Butterflies,Sandy soils.,USDA Hardiness Zone 3 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g690,https://www.wildflower.org/plants/result.php?id_plant=sose,https://www.pleasantrunnursery.com/plant-name/Buxus-sempervirens,https://newmoonnursery.com/nursery-plants/aster-puniceus/,https://www.pinelandsnursery.com/solidago-sempervirens-seaside-goldenrod-2-plug
"Herbaceous, Perennial",SL,Stokesia laevis,STOKES’ ASTER,1 - 2,1 - 1.50,"White, Blue, Purple","May, Jun, Jul, Aug, Sep",Full Sun,medium,"Drought, Rabbit, Drought Tolerant",Low,"Coastal plains, bogs, pine savanna, and open woodlands.","Butterflies, Pollinators","Moist, rich, well-drained soil, acidic sands preferred.",USDA Hardiness Zone 5 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i900,https://www.wildflower.org/plants/result.php?id_plant=stla6,https://www.pleasantrunnursery.com/plant-name/Stokesia-laevis-Peachie-s-Pick,https://newmoonnursery.com/nursery-plants/coreopsis-verticillata-zagreb/,https://www.pinelandsnursery.com/search?query=Stokesia+laevis
"Herbaceous, Perennial",SL1,Symphyotrichum laeve,SMOOTH ASTER,2 - 4,1 - 2,"Blue, Purple","Aug, Sep, Oct",Full Sun,"dry, medium","Drought, Erosion, Dry Soil, Shallow-Rocky Soil",Low,Open woods; dry to mesic prairies,Butterflies,Variable.,USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g420,https://www.wildflower.org/plants/result.php?id_plant=sylal3,https://www.pleasantrunnursery.com/plant-name/Aster-laeve,https://newmoonnursery.com/nursery-plants/aster-laevis/,https://www.pinelandsnursery.com/symphyotrichum-laeve-smooth-aster-seed
"Herbaceous, Perennial",SN1,Symphyotrichum novae,NEW ENGLAND ASTER,3 - 6,2 - 3,"Pink, Purple","Aug, Sep, Oct",Full Sun,medium,Clay Soil,Medium,"Moist, open, wooded areas; meadows; mesic prairies; disturbed sites; stream banks",Butterflies,Moist soils.,USDA Hardiness Zone 4 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b540,https://www.wildflower.org/plants/result.php?id_plant=syno2,https://www.pleasantrunnursery.com/plant-name/Aster-novae-angliae,https://newmoonnursery.com/nursery-plants/aster-novae-angliae/,https://www.pinelandsnursery.com/symphyotrichum-novae-angliae-new-england-aster-seed
"Herbaceous, Perennial",SN2,Symphyotrichum novi,NEW YORK ASTER,3 - 4,2 - 3,"White, Pink, Purple","Aug, Sep",Full Sun,"medium, wet","Clay Soil, Wet Soil",Low,,Butterflies,,USDA Hardiness Zone 4 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=371788,https://www.wildflower.org/plants/result.php?id_plant=SYNOV,https://www.pleasantrunnursery.com/plant-name/Aster-novi-belgii,https://newmoonnursery.com/nursery-plants/aster-novi-belgii/,https://www.pinelandsnursery.com/symphyotrichum-novi-belgii-new-york-aster-seed
"Herbaceous, Perennial",TC,Tiarella cordifolia,FOAM FLOWER,0.75 - 1,1 - 2,White,"Apr, May, Jun, Jul","Part Shade, Full Shade",medium,"Deer, Rabbit, Clay Soil Tolerant",Low,"Cool, moist, ",Pollinators,"Moist, well-drained, humus-rich soils.",USDA Hardiness Zone 4 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f990,https://www.wildflower.org/plants/result.php?id_plant=TICO,https://www.pleasantrunnursery.com/plant-name/Tiarella-cordifolia,https://newmoonnursery.com/nursery-plants/tiarella-cordifolia-brandywine/,https://www.pinelandsnursery.com/search?query=Tiarella+cordifolia
"Herbaceous, Perennial",VH,Verbena hastata,BLUE VERVAIN,2 - 6,1 - 2.50,"Blue, Purple","Jun, Jul, Aug, Sep",Full Sun,"medium, wet",Wet Soil,Low,Moist prairies; damp thickets.,"Hummingbirds, Butterflies",Moist soils.,USDA Hardiness Zone 3 to 8,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z370,https://www.wildflower.org/plants/result.php?id_plant=veha2,https://www.pleasantrunnursery.com/plant-name/Verbena-hastata,https://newmoonnursery.com/nursery-plants/verbena-hastata-pink-spires/,https://www.pinelandsnursery.com/verbena-hastata-blue-vervain-seed
"Herbaceous, Perennial",VN,Vernonia noveboracensis,NEW YORK IRONWEED,4 - 6,3 - 4,"Pink, Purple","Jun, Jul, Aug, Sep, Oct",Full Sun,"medium, wet","Deer, Clay Soil, Wet Soil, Wet Site Tolerant",Low,"Wet Meadow, Prairie, Field, Riparian, Swamp, Marsh. Most often found on the margins of flooded plains, lakes, ponds, waterways, marshes, swamps, and other wet areas.","Butterflies, Hummingbirds, Pollinators","Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.",USDA Hardiness Zone 5 to 9,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g160,https://www.wildflower.org/plants/result.php?id_plant=asin,https://www.pleasantrunnursery.com/plant-name/Vernonia-noveboracensis,https://newmoonnursery.com/nursery-plants/veronicastrum-virginicum/,https://www.pinelandsnursery.com/vernonia-noveboracensis-new-york-ironweed-seed
"Herbaceous, Perennial",VV,Veronicastrum virginicum,CULVER’S ROOT,4 - 7,2 - 4,"White, Pink, Blue","Jul, Aug, Sep",Full Sun,"medium, wet",Wet Soil,Low,Moist prairies; woods; stream banks,Butterflies,"Moist, rich soils.",USDA Hardiness Zone 3 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g180,https://www.wildflower.org/plants/result.php?id_plant=vevi4,https://www.pleasantrunnursery.com/plant-name/Veronicastrum-virginicum,https://newmoonnursery.com/nursery-plants/veronicastrum-virginicum/,https://www.pinelandsnursery.com/veronicastrum-virginicum
Ferns,AF,Athyrium filix,LADY FERN,1 - 3,1 - 2.50,Not Applicable,,"Part Shade, Full Shade",medium,"Rabbit, Heavy Shade",Low,"Forest, Woodland, Wet Meadow, Prairie, Field, Swamp, Marsh, Lakeshores",,"Moist, humus-rich soils.",USDA Hardiness Zone 4 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b630,https://www.wildflower.org/plants/result.php?id_plant=ATFI,https://www.pleasantrunnursery.com/plant-name/Athyrium-filix-femina,https://newmoonnursery.com/nursery-plants/tiarella-cordifolia-wherryi/,https://www.pinelandsnursery.com/search?query=Athyrium+filix
Ferns,DM,Dryopteris marginalis,MARGINAL WOODLAND FERN,1.50 - 2,1.50 - 2,Not Applicable,"May, Jun","Part Shade, Full Shade",medium,"Deer, Rabbit, Heavy Shade, Dry Shade Tolerant",Low,Boggy areas; shaded ledges; bluffs,,"Muddy, acid soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based, Calcareous",USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=k170,https://www.wildflower.org/plants/result.php?id_plant=OSCI,https://www.pleasantrunnursery.com/plant-name/Dryopteris-marginalis,https://newmoonnursery.com/nursery-plants/polemonium-reptans/,https://www.pinelandsnursery.com/dryopteris-marginalis-marginal-woodfern-tubeling
Ferns,MS,Matteuccia struthiopteris,OSTRICH FERN,3 - 6,3 - 5,Not Applicable,,"Part Shade, Full Shade","medium, wet","Clay Soil, Wet Soil, Black Walnut Tolerant, Deer, Rabbit, Heavy Shade, Erosion, Clay Soil Tolerant, Wet Site Tolerant",Medium,Swamps; bottomland woods & thickets,,"Cool, wet, sandy soils.",USDA Hardiness Zone 3 to 7,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=272444,https://www.wildflower.org/plants/result.php?id_plant=MAST,https://www.pleasantrunnursery.com/plant-name/Matteuccia-struthiopteris,,https://www.pinelandsnursery.com/matteuccia-struthiopteris-ostrich-fern-tubeling
Ferns,OS,Onoclea Sensibilis,SENSITIVE FERN,3 - 4,3 - 4,Not Applicable,"Jun, Jul, Aug, Sep, Oct, Nov","Part Shade, Full Shade","medium, wet","Clay Soil, Wet Soil, Black Walnut Tolerant, Rabbit, Heavy Shade, Black Walnut, Clay Soil Tolerant, Wet Site Tolerant",Medium,"Moist woodlands, floodplains, stream banks, swamps, marshes",,"Various loose, acidic, moist to wet soils. Sandy, Sandy Loam, Medium Loam, Limestone-based.",USDA Hardiness Zone 4 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l300,https://www.wildflower.org/plants/result.php?id_plant=ONSE,https://www.pleasantrunnursery.com/plant-name/Onoclea-sensibilis,,https://www.pinelandsnursery.com/onoclea-sensibilis-sensitive-fern-tubeling
Ferns,OC,Osmunda cinnamomea,CINNAMON FERN,2 - 3,2 - 3,Not Applicable,"May, Jun","Part Shade, Full Shade","medium, wet","Black Walnut Tolerant, Rabbit, Heavy Shade, Black Walnut, Wet Site Tolerant",Low,Boggy areas; shaded ledges; bluffs,,"Muddy, acid soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based, Calcareous",USDA Hardiness Zone 3 to 9,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i570,https://www.wildflower.org/plants/result.php?id_plant=OSCI,https://www.pleasantrunnursery.com/plant-name/Osmunda-cinnamomea,https://newmoonnursery.com/nursery-plants/luzula-acuminata/,https://www.pinelandsnursery.com/osmunda-cinnamomea-cinnamon-fern-1-pot
Ferns,OR,Osmunda regalis,ROYAL FERN,2 - 3,2 - 3,Not Applicable,,"Part Shade, Full Shade","medium, wet","Wet Soil, Rabbit, Heavy Shade, Clay Soil Tolerant, Wet Site Tolerant",Low,Swamps; marshes; stream banks; moist depressions in savannas & prairies,,"Various wet soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based",USDA Hardiness Zone 3 to 9,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l320,https://www.wildflower.org/plants/result.php?id_plant=osre,https://www.pleasantrunnursery.com/plant-name/Royal_Fern,,https://www.pinelandsnursery.com/osmunda-regalis-royal-fern-tubeling
Ferns,PA,Polystichum acrostichoides,CHRISTMAS FERN,1 - 2,1 - 2,Not Applicable,,"Part Shade, Full Shade","dry, medium","Deer, Drought, Rabbit, Heavy Shade, Erosion, Dry Soil, Shallow-Rocky Soil, Dry Shade Tolerant",Low,"Rich, rocky woods; stream banks; swamps; thickets",,"Moist, acid, humus-rich soils. Sandy, Sandy Loam, Medium Loam, Acid-based. Best in rocky or sandy soils.",USDA Hardiness Zone 3 to 9,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a710,https://www.wildflower.org/plants/result.php?id_plant=poac4,https://www.pleasantrunnursery.com/plant-name/Polystichum-acrostichoides,https://newmoonnursery.com/nursery-plants/tiarella-cordifolia-wherryi/,https://www.pinelandsnursery.com/polystichum-acrostichoides-christmas-fern-tubeling
"Grasses, Sedges, and Rushes",AG,Andropogon gerardii,BIG BLUESTEM,4 - 6,2 - 3,"Red, Blue, Brown","Aug, Sep, Oct, Nov",Full Sun,"dry, medium","Deer, Drought, Erosion, Dry Soil, Black Walnut, Air Pollution, Clay Soil Tolerant, Salt Tolerant",Low,"Usually in low meadows and prairies, rare in extreme west. Most abundant in the central plains but also a prairie component in moist grasslands all the way to the east coast.","Pollinators, Food Source for Wildlife","Acid or calcareous sands, loams, and clays.",USDA Hardiness Zone 4 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g720,https://www.wildflower.org/plants/result.php?id_plant=ange,https://www.pleasantrunnursery.com/plant-name/Andropogon-gerardii-Blackhawks,https://newmoonnursery.com/nursery-plants/andropogon-gerardii-holy-smoke/,https://www.pinelandsnursery.com/andropogon-gerardii-big-bluestem-seed
"Grasses, Sedges, and Rushes",CA,Carex amphibola,CREEK SEDGE,0.50 - 1,0.50 - 1,Not Applicable,"Mar, Apr, May, Jun","Part Shade, Full Shade","dry, medium","Wet Soil, Heavy Shade, Drought Tolerant, Dry Shade Tolerant",Low,,,,USDA Hardiness Zone 3 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f237,https://www.wildflower.org/plants/result.php?id_plant=caam8,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,https://newmoonnursery.com/nursery-plants/carex-amphibola/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
"Grasses, Sedges, and Rushes",CC,Carex crinita,FRINGED SEDGE,1 - 3,1 - 2,Not Applicable,"June, August","Full Sun, Part Shade","medium, wet","Deer, Wet Soil, Erosion",Low,Riparian,Birds,,USDA Hardiness Zone 3 to 8,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279732,https://www.wildflower.org/plants/result.php?id_plant=cacr6,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,https://newmoonnursery.com/nursery-plants/carex-crinita/,https://www.pinelandsnursery.com/carex-crinita-fringed-sedge-2-plug
"Grasses, Sedges, and Rushes",CG1,Carex grayi,GRAY SEDGE,2 - 3,1.50 - 2,Not Applicable,"May, Jun, Jul, Aug","Full Sun, Part Shade","medium, wet","Deer, Wet Soil, Erosion, Salt Tolerant, Wet Site Tolerant",Low,,,,USDA Hardiness Zone 5 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279804,https://www.wildflower.org/plants/result.php?id_plant=CAGR5,https://www.pleasantrunnursery.com/plant-name/Carex-grayi,https://newmoonnursery.com/nursery-plants/carex-grayi/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
"Grasses, Sedges, and Rushes",CL1,Carex laxiculmis,CREEPING SEDGE,0.50 - 1,0.50 - 1,"Green, Brown","Mar, Apr, May, Jun","Part Shade, Full Shade","medium, wet","Deer, Wet Soil, Heavy Shade",Low,"Low, wet, ",,,USDA Hardiness Zone 5 to 9,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279805,https://www.wildflower.org/plants/result.php?id_plant=CALAL4,https://www.pleasantrunnursery.com/plant-name/Carex-laxiculmis-Bunny-Blue,https://newmoonnursery.com/nursery-plants/carex-laxiculmis/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
"Grasses, Sedges, and Rushes",CP1,Carex pensylvanica,PENNSYLVANIA SEDGE,0.50 - 1,0.50 - 1,Not Applicable,"May, Jun, Jul","Part Shade, Full Shade","dry, medium","Wet Soil, Deer, Heavy Shade, Dry Shade Tolerant, Foot Traffic Tolerant, Wet Site Tolerant",Low,Dry to moist woods,,Dry to moist soils.,USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f237,https://www.wildflower.org/plants/result.php?id_plant=cape6,https://www.pleasantrunnursery.com/plant-name/Carex-pensylvanica,https://newmoonnursery.com/nursery-plants/carex-pensylvanica/,https://www.pinelandsnursery.com/carex-pensylvanica-pennsylvania-sedge-2-plug
"Grasses, Sedges, and Rushes",CP2,Carex plantaginea,SEERSUCKER SEDGE,2 - 3,1.50 - 2,"White, Green, Brown","Apr, May, Jun","Full Sun, Part Shade",wet,"Deer, Wet Soil, Erosion, Wet Site Tolerant",Low,,Food Source for Wildlife,,USDA Hardiness Zone 4 to 8,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279765&isprofile=1&gen=Carex,https://www.wildflower.org/plants/result.php?id_plant=CAAL3,https://www.pleasantrunnursery.com/plant-name/Carex-plantaginea,https://newmoonnursery.com/nursery-plants/carex-plantaginea/,https://www.pinelandsnursery.com/carex-plantaginea-1-pot
"Grasses, Sedges, and Rushes",CS,Carex stipata,AWL-FRUITED SEDGE,1 - 3,1 - 2,Not Applicable,"Apr, May, Jun, Jul, Aug","Full Sun, Part Shade","medium, wet","Deer, Erosion, Drought Tolerant, Dry Shade Tolerant",Low,"Low, wet grounds",,Wet soil to standing water.,USDA Hardiness Zone 3 to 8,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=279745,https://www.wildflower.org/plants/result.php?id_plant=cast5,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,,https://www.pinelandsnursery.com/carex-stipata-awl-fruit-sedge-2-plug
"Grasses, Sedges, and Rushes",CS1,Carex stricta,TUSSOCK SEDGE,1 - 3,1 - 2,Not Applicable,"May, Jun","Full Sun, Part Shade","medium, wet","Deer, Erosion, Drought Tolerant, Dry Shade Tolerant",Low,Acid or neutral swamps; swales; low woods,,Wet soil to standing water.,USDA Hardiness Zone 3 to 8,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d584,https://www.wildflower.org/plants/result.php?id_plant=CAST8,https://www.pleasantrunnursery.com/plant-name/Carex-albicans,https://newmoonnursery.com/nursery-plants/carex-stricta/,https://www.pinelandsnursery.com/carex-stricta-tussock-sedge-seed
"Grasses, Sedges, and Rushes",CV,Carex vulpinoidea,FOX SEDGE,1 - 3,1 - 3,Not Applicable,"Jul, Aug","Full Sun, Part Shade",wet,"Deer, Black Walnut Tolerant, Clay Soil Tolerant, Wet Site Tolerant",Low,"Wet Meadow/Prairie/Field, Swamp/Marsh",Pollinators,"Clay, Loam",USDA Hardiness Zone 3 to 7,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g760,https://www.wildflower.org/plants/result.php?id_plant=cavu2,https://www.pleasantrunnursery.com/plant-name/Carex-vulpinoidea,https://newmoonnursery.com/nursery-plants/carex-vulpinoidea/,https://www.pinelandsnursery.com/carex-vulpinoidea-fox-sedge-seed
"Grasses, Sedges, and Rushes",CL2,Chasmanthium latifolium,NORTHERN SEA OATS,2 - 5,1 - 2.50,"Blue, Purple","Jun, Jul, Aug, Sep","Full Sun, Part Shade","medium, wet",Black Walnut,Low,Moist prairies; damp thickets.,Birds,Moist soils.,USDA Hardiness Zone 3 to 8,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a240,https://www.wildflower.org/plants/result.php?id_plant=veha2,https://www.pleasantrunnursery.com/plant-name/Chasmanthium-latifolium,https://newmoonnursery.com/nursery-plants/chasmanthium-latifolium/,https://www.pinelandsnursery.com/chasmanthium-latifolium
"Grasses, Sedges, and Rushes",DC,Deshampsia cespitosa,TUFTED HAIRGRASS,2 - 3,1 - 2,White,"May, Jun, Jul",Part Shade,medium,"Black Walnut, Air Pollution",Low,"Low, moist areas; prairies; open woodlands",Birds,"Fertile, well-drained loams, clay loams, and sand. Acid preferably but tolerates lime.",USDA Hardiness Zone 4 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c450,https://www.wildflower.org/plants/result.php?id_plant=pedi,https://www.pleasantrunnursery.com/plant-name/Deschampsia-cespitosa,https://newmoonnursery.com/nursery-plants/deschampsia-flexuosa-sold-out-until-2021/,https://www.pinelandsnursery.com/deschampsia-cespitosa-1-pot
"Grasses, Sedges, and Rushes",EV,Elymus virginicus,VIRGINIA WILD RYE,2 - 4,1 - 2,Not Applicable,"March, May","Full Sun, Part Shade",medium,"Deer, Erosion",Low,,Butterflies,,USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=285239,https://www.wildflower.org/plants/result.php?id_plant=ELVIV,https://www.pleasantrunnursery.com/plant-name/Elymus-virginicus,https://newmoonnursery.com/nursery-plants/elymus-virginicus/,https://www.pinelandsnursery.com/elymus-virginicus-virginia-wild-rye-seed
"Grasses, Sedges, and Rushes",ES,Eragrostis spectabilis,PURPLE LOVEGRASS,1 - 2,1 - 2,"Red, Purple","Aug, Sep, Oct",Full Sun,"dry, medium","Drought, Black Walnut, Air Pollution, Drought Tolerant, Salt Tolerant",Low,Sandy or disturbed sites; plains; open woods,,"Sandy soils. Well drained open fields. Grows best on moist, sandy soil in full sun.",USDA Hardiness Zone 5 to 9,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d593,https://www.wildflower.org/plants/result.php?id_plant=ersp,https://www.pleasantrunnursery.com/plant-name/Eragrostis-spectabilis,https://newmoonnursery.com/nursery-plants/eragrostis-spectabilis/,https://www.pinelandsnursery.com/eragrostis-spectabilis-1-pot
"Grasses, Sedges, and Rushes",JE,Juncus effusus,SOFT RUSH,2 - 4,2 - 4,"Green, Brown","Jul, Aug, Sep",Full Sun,wet,"Wet Soil, Erosion, Salt Tolerant, Wet Site Tolerant",Low,"Swamps, damp open ground.",Food Source for Wildlife,"Clay, Loam, Sand",USDA Hardiness Zone 4 to 9,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c262,https://www.wildflower.org/plants/result.php?id_plant=JUEF,https://www.pleasantrunnursery.com/plant-name/Juncus-effusus,https://newmoonnursery.com/nursery-plants/juncus-effusus/,https://www.pinelandsnursery.com/juncus-effusus-soft-rush-seed
"Grasses, Sedges, and Rushes",PV2,Panicum virgatum,SWITCHGRASS,3 - 6,2 - 3,"Green, Brown","Aug, Sep, Oct, Nov","Full Sun, Part Shade","medium, wet","Drought, Wet Soil, Erosion, Dry Soil, Black Walnut, Air Pollution",Low,"Dry or moist prairies; bluffs; stream banks; open woods. In moist and seasonally damp open places throughout Texas, except for Trans-Pecos. Sand, loam, clay, limestone; poor drainage okay.",Birds,"Dry to moist soils. Sandy, Sandy Loam, Medium Loam Clay Loam, Clay, Limestone-based.",USDA Hardiness Zone 5 to 9,FAC,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=l460,https://www.wildflower.org/plants/result.php?id_plant=pavi2,https://www.pleasantrunnursery.com/plant-name/Panicum-virgatum,https://newmoonnursery.com/nursery-plants/panicum-virgatum-prairie-dog/,https://www.pinelandsnursery.com/panicum-virgatum-switchgrass-seed
"Grasses, Sedges, and Rushes",SS1,Schizachyrium scoparium,LITTLE BLUESTEM,2 - 4,1.50 - 2,"White, Green, Brown","Jun, Jul, Aug, Sep, Oct, Nov, Dec",Full Sun,"dry, medium","Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",Low,"Woodlands' edge, Opening, Hillsides, Slopes, Prairie, Plains, Meadows, Pastures, Savannas",Birds,"Well-drained soil. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based",USDA Hardiness Zone 3 to 9,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f510,https://www.wildflower.org/plants/result.php?id_plant=SCSC,https://www.pleasantrunnursery.com/plant-name/Schizachyrium-scoparium,https://newmoonnursery.com/nursery-plants/schizachyrium-scoparium-sandhill/,https://www.pinelandsnursery.com/schizachyrium-scoparium-little-bluestem-seed
"Grasses, Sedges, and Rushes",SN3,Sorghastrum nutans,INDIANGRASS,3 - 5,1 - 2,Yellow,"Aug, Sep, Oct",Full Sun,"dry, medium","Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",Medium,"Prairies; open woods; fields; dry slopes. Frequent in north central Texas, Edwards Plateau, and Plains Country. Sand, loam, clay, limestone; seasonal poor drainage okay.",Birds,"Moist, rich soils. Calcareous, Sandy Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based",USDA Hardiness Zone 4 to 9,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g780,https://www.wildflower.org/plants/result.php?id_plant=sonu2,https://www.pleasantrunnursery.com/plant-name/Sorghastrum-nutans,https://newmoonnursery.com/nursery-plants/sorghastrum-nutans-indian-steel/,https://www.pinelandsnursery.com/sorghastrum-nutans-indiangrass-seed
